Date,PRCP,Snow,Tmax,Tmin,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Year,Day_of_Week,Opponent,Win,Lost,Attendance,GameBehind
1/2/2016,0,0,40,31,133,1.8,2.2,99,99,99,999,1018,25.4,26.7,999,99,99,2016,Tue,Brooklyn,18,15,18624,-3
11/6/2016,0.09,0,52,43,64,9.9,11,99,99,99,999,1018,25.5,26.1,999,99,99,2016,Tue,Denver,3,3,17452,0
12/2/2016,0,0,51,38,112,4.4,4.8,99,99,99,999,1017,25.5,26.2,999,99,99,2016,Sun,Sacramento,11,8,18624,-3
12/6/2017,0.46,0,58,36,117,5.4,6,99,99,99,999,1019,25.5,26.4,999,99,99,2017,Thu,DallasDallas,22,4,18624,-18
1/7/2017,0.53,7,24,17,248,6.2,6.8,99,99,99,999,1017,25.6,24.9,999,99,99,2017,Sun,New Orleans,23,14,18624,-9
12/12/2012,0,0,40,31,160,6.3,7,99,99,99,999,1018,25.7,25.8,999,99,99,2012,Wed,Dallas,12,9,18624,-3
12/21/2013,0,0,54,41,122,9.7,10.8,99,99,99,999,1019,25.7,25.8,999,99,99,2013,Fri,Washington,12,16,18169,4
12/6/2013,0.3,0,57,35,119,8.5,9.5,99,99,99,999,1020,25.8,26.3,999,99,99,2013,Thu,Denver,9,12,17263,3
4/12/2015,0,0,68,39,121,6,6.5,99,99,99,999,1018,25.8,25.9,999,99,99,2015,Thu,Cleveland,38,42,18624,4
4/14/2015,0.01,0,65,52,117,5.9,6.5,99,99,99,999,1020,25.8,25.9,999,99,99,2015,Sat,Toronto,39,42,18624,3
12/11/2013,0,0,32,24,102,6.6,7.3,99,99,99,999,1021,25.9,26.2,999,99,99,2013,Tue,LA,10,14,17587,4
11/8/2017,0.03,0,45,37,44,5.5,6.2,99,99,99,999,1015,25.9,27,999,99,99,2017,Thu,Los AngelesLos Angeles,10,2,18624,-8
11/23/2014,0,0,59,42,130,10,11.1,99,99,99,999,1016,26,25.6,999,99,99,2014,Fri,Portland,4,8,16692,4
12/27/2015,0.26,0,50,38,113,9.7,14.4,99,99,99,999,1018,26,29.5,999,99,99,2015,Thu,New York,18,13,18624,-5
10/26/2016,0,0,49,37,74,11.4,12.7,99,99,99,999,1019,26.2,27.7,999,99,99,2016,Fri,Brooklyn,1,0,18624,-1
11/17/2014,1.64,0,48,37,165,6.5,7.1,99,99,99,999,1016,26.3,26.2,999,99,99,2014,Sat,Phoenix,3,6,16726,3
12/30/2015,0.03,0,37,25,153,12.1,17,99,99,99,999,1021,26.4,32.9,999,99,99,2015,Sun,Los Angeles,18,14,18624,-4
11/2/2016,0,0,70,45,78,10.3,11.4,99,99,99,999,1018,26.4,27,999,99,99,2016,Fri,Chicago,3,1,18624,-2
11/10/2017,0.02,0,49,24,59,7.2,8.1,99,99,99,999,1389,26.4,27,999,99,99,2017,Sat,CharlotteCharlotte,11,2,18624,-9
11/12/2017,0,0,44,29,79,11,12.2,99,99,99,999,1017,26.4,26.6,999,99,99,2017,Mon,TorontoToronto,12,2,18624,-10
11/6/2013,0,0,61,42,82,11,12.2,99,99,99,999,1016,26.5,26.5,999,99,99,2013,Tue,Utah,1,4,17130,3
11/11/2013,0,0,53,41,74,9,9.9,99,99,99,999,1018,26.5,27.4,999,99,99,2013,Sun,Orlando,4,4,18624,0
